id,delius_id,unique_device_wearer_id,person_id,given_name,family_name,alias,timestamp,toy
1,H791869,DEVW9520911,65bb29cea5a84162b232d4c925d98389,Leslie,Richards,,2025-08-05T13:10:38.8891,False
2,G488389,DEVW3831350,46dc2d5bf54a4a7d80b7fba5b02256d8,Diane,Bates,diaba,2025-08-05T13:10:38.8891,False
3,N203567,DEVW1046667,191ac114e08644fb953748d7f6937d21,Danielle,Kay,,2025-08-05T13:10:38.8891,False
4,S156548,DEVW5555402,387e55b455d140d2ae3b4cd06a9bc01d,Rachel,Johnson,,2025-08-05T13:10:38.8891,False
5,X336347,DEVW6331190,74356891ab8340b28d9065351bdd7d31,Lindsey,Barber,,2025-08-05T13:10:38.8891,False
6,E530126,DEVW1456519,4951c1c85e304972a9ca05b79982b508,Gail,Matthews,gaima,2025-08-05T13:10:38.8891,False
7,R845102,DEVW1691353,dd0ee9dbb54e4b81846eb3214c766c55,Timothy,Burns,,2025-08-05T13:10:38.8891,False
8,Z119373,DEVW9884348,db4ea50f8de44bc28c4ccd4ff1c56353,Mitchell,Wallace,,2025-08-05T13:10:38.8891,False
9,B493322,DEVW4403104,1a9378d794e0498c83395441c44d415f,Paige,Kennedy,paike,2025-08-05T13:10:38.8891,False
10,C613856,DEVW4151907,cdba1870612e49189f3b51edd2ed752e,Rita,Morris,,2025-08-05T13:10:38.8891,False
11,P997552,DEVW7979801,e00548eaef0645c196f2aad616d41971,Harry,Lloyd,harll,2025-08-05T13:10:38.8891,False
12,I679090,DEVW7325739,7115523eb6cf40cc96efeb6c5a2450df,Leanne,Smith,,2025-08-05T13:10:38.8891,False
13,X447386,DEVW8727463,d95ba24684ac461e893aaeb17b97a352,Debra,Collier,debco,2025-08-05T13:10:38.8891,False
14,R237810,DEVW8469217,9edd5cac7a5e44acb060413732aa7e6d,Jill,Dale,jilda,2025-08-05T13:10:38.8891,False
15,Q542694,DEVW1307506,b194e1357f00431ba969d7fe8fcc6bb0,Alison,Fraser,,2025-08-05T13:10:38.8891,False
16,V381709,DEVW3239198,483c0c0b032940dea7f9da7b432d0ed7,Ben,Gray,bengr,2025-08-05T13:10:38.8891,False
17,E469507,DEVW2105016,93fe4d3c03414d00953cfe6fdfc9e27e,Joyce,Campbell,joyca,2025-08-05T13:10:38.8891,False
18,U658924,DEVW7582812,5da898ce4c0844858b71ca13d2758c10,Brett,Douglas,,2025-08-05T13:10:38.8891,False
19,G867985,DEVW2872325,b7a3c37edfd1452c8face5a6777e9e2e,Joshua,Bird,josbi,2025-08-05T13:10:38.8891,False
20,G861461,DEVW9395273,64f598ca96b044029653d2183dbd5078,Jodie,Williams,jodwi,2025-08-05T13:10:38.8891,False
